,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths
6496,06/24/2020,OR,7444,7185.0,259.0,170,3.0,195,193.0,2.0,3,0.0,06/25/2020 02:07:27 PM,Agree,Agree
6497,02/11/2020,MD,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,Agree
6498,02/10/2020,WY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6499,09/22/2020,OH,145850,137888.0,7962.0,685,106.0,4635,4338.0,297.0,12,-1.0,09/23/2020 01:51:22 PM,Agree,Agree
6500,09/06/2020,WY,4032,3425.0,607.0,26,-13.0,42,42.0,0.0,0,0.0,09/07/2020 01:37:36 PM,Agree,Agree
6501,02/08/2020,OK,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6502,06/09/2020,WI,21308,21308.0,0.0,270,0.0,661,661.0,0.0,15,0.0,06/10/2020 08:56:25 PM,Agree,Agree
6503,02/02/2020,CO,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6504,03/23/2020,AZ,253,,,101,,2,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6505,10/09/2020,MN,109312,,,1390,0.0,2174,2121.0,53.0,14,0.0,10/10/2020 01:30:17 PM,,Agree
6506,05/29/2020,WI,17707,17707.0,0.0,733,0.0,568,568.0,0.0,18,0.0,05/30/2020 03:47:59 PM,Agree,Agree
6507,01/25/2020,NM,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,Not agree
6508,04/18/2020,FL,24797,,,731,,748,,,22,,04/18/2020 04:22:39 PM,Not agree,Not agree
6509,03/30/2020,NY,29044,,,3299,,155,,,36,,03/29/2020 04:22:39 PM,Not agree,Not agree
6510,05/18/2020,TN,18121,18011.0,110.0,626,3.0,301,301.0,0.0,3,0.0,05/19/2020 03:45:23 PM,Agree,Agree
6511,03/23/2020,NV,245,,,55,,4,,,2,,03/26/2020 04:22:39 PM,,
6512,09/17/2020,PA,147923,143552.0,4371.0,933,47.0,7913,,,10,-26.0,09/18/2020 01:48:37 PM,Agree,Not agree
6513,08/04/2020,AL,93847,91018.0,2829.0,1186,95.0,1668,1616.0,52.0,35,-1.0,08/05/2020 02:13:18 PM,Agree,Agree
6514,12/14/2020,MI,472780,437985.0,34795.0,7621,416.0,11289,10752.0,537.0,94,4.0,12/15/2020 02:39:02 PM,Agree,Agree
6515,08/07/2020,LA,128746,,,1500,0.0,4207,4089.0,118.0,61,0.0,08/08/2020 02:58:44 PM,Not agree,Agree
6516,01/17/2021,NV,261573,,,1483,0.0,3779,,,18,0.0,01/18/2021 02:39:32 PM,,
6517,07/24/2020,AZ,156301,156301.0,0.0,3357,0.0,3142,3142.0,0.0,79,0.0,07/25/2020 05:40:06 PM,Agree,Agree
6518,11/24/2020,NM,86247,,,2099,0.0,1428,,,28,0.0,11/25/2020 02:53:15 PM,,Not agree
6519,01/14/2021,OK,352900,279142.0,73758.0,3347,901.0,2935,2702.0,233.0,43,5.0,01/15/2021 02:46:04 PM,Agree,Agree
6520,02/29/2020,ND,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Not agree
6521,08/02/2020,CA,509162,,,9032,0.0,9356,,,132,0.0,08/03/2020 02:31:01 PM,Not agree,Not agree
6522,05/08/2020,IL,73760,73760.0,0.0,2887,0.0,3241,3241.0,0.0,130,0.0,05/09/2020 09:26:08 PM,Agree,Agree
6523,07/26/2020,KY,27079,25699.0,1380.0,315,6.0,700,696.0,4.0,4,0.0,07/27/2020 02:16:42 PM,Agree,Agree
6524,01/19/2021,LA,372089,,,2138,332.0,8324,7833.0,491.0,71,22.0,01/20/2021 02:44:03 PM,Not agree,Agree
6525,07/17/2020,TX,307572,,,14916,0.0,3735,,,174,0.0,07/18/2020 04:14:26 PM,Not agree,Not agree
6526,12/01/2020,WV,48818,41561.0,7257.0,976,262.0,758,,,23,2.0,12/02/2020 03:48:48 PM,Agree,Not agree
6527,08/09/2020,MI,96726,87403.0,9323.0,535,21.0,6519,6249.0,270.0,-1,0.0,08/10/2020 02:23:35 PM,Agree,Agree
6528,03/12/2020,AS,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,,
6529,02/19/2020,SC,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6530,08/17/2020,WV,8632,8462.0,170.0,68,-1.0,160,,,0,0.0,08/18/2020 02:26:55 PM,Agree,Not agree
6531,02/20/2020,OR,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6532,03/04/2020,KY,0,,,0,,0,,,0,,03/26/2020 04:22:39 PM,Agree,Agree
6533,04/30/2020,AS,0,,,0,0.0,0,,,0,0.0,05/01/2020 09:00:19 PM,,
6534,11/17/2020,AZ,279896,272312.0,7584.0,2984,129.0,6312,5855.0,457.0,10,1.0,11/18/2020 02:57:46 PM,Agree,Agree
