,RegionID,SizeRank,RegionName,RegionType,StateName,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30
93,394666,96,"Harrisburg, PA",Msa,PA,46.0,47.0,36.0,22.0,14.0,13.0,14.0,16.0,20.0,23.0,25.0,27.0,31.0,29.0,22.0,14.0,11.0,11.0,13.0,14.0,14.0,15.0,17.0,19.0,22.0,20.0,16.0,14.0,12.0,12.0,8.0,6.0,11.0
94,395006,100,"Provo, UT",Msa,UT,28.0,26.0,18.0,10.0,12.0,12.0,13.0,13.0,17.0,20.0,23.0,25.0,26.0,22.0,18.0,14.0,14.0,15.0,17.0,17.0,20.0,21.0,27.0,29.0,28.0,20.0,11.0,10.0,10.0,13.0,10.0,8.0,6.0
95,394549,104,"Durham, NC",Msa,NC,17.0,13.0,9.0,6.0,6.0,7.0,8.0,10.0,12.0,14.0,16.0,19.0,21.0,17.0,11.0,7.0,6.0,8.0,9.0,11.0,11.0,12.0,15.0,20.0,21.0,17.0,10.0,7.0,7.0,7.0,6.0,6.0,6.0
96,394995,119,"Port St. Lucie, FL",Msa,FL,45.0,45.0,41.0,36.0,37.0,38.0,41.0,42.0,40.0,37.0,35.0,39.0,48.0,49.0,49.0,47.0,48.0,50.0,49.0,51.0,48.0,49.0,46.0,50.0,48.0,45.0,41.0,39.0,45.0,48.0,46.0,39.0,32.0
97,395183,124,"Vallejo, CA",Msa,CA,17.0,15.0,13.0,11.0,12.0,12.0,13.0,16.0,20.0,24.0,27.0,30.0,35.0,33.0,27.0,18.0,15.0,16.0,17.0,19.0,20.0,22.0,24.0,25.0,26.0,22.0,16.0,12.0,13.0,15.0,13.0,11.0,10.0
98,394746,128,"Killeen, TX",Msa,TX,44.0,39.0,28.0,19.0,15.0,14.0,15.0,17.0,22.0,27.0,33.0,33.0,32.0,26.0,20.0,15.0,12.0,12.0,13.0,14.0,15.0,18.0,18.0,21.0,23.0,23.0,17.0,13.0,11.0,10.0,7.0,6.0,6.0
99,395048,132,"Salem, OR",Msa,OR,27.0,22.0,17.0,13.0,14.0,15.0,17.0,17.0,18.0,19.0,24.0,32.0,41.0,37.0,30.0,22.0,20.0,23.0,23.0,24.0,26.0,27.0,33.0,39.0,45.0,40.0,28.0,19.0,16.0,16.0,15.0,12.0,14.0
100,394927,149,"Ocala, FL",Msa,FL,42.0,43.0,41.0,36.0,34.0,34.0,31.0,30.0,30.0,31.0,33.0,35.0,39.0,36.0,34.0,31.0,35.0,35.0,34.0,31.0,31.0,32.0,33.0,36.0,40.0,39.0,33.0,30.0,28.0,28.0,25.0,23.0,19.0
101,394602,159,"Fort Collins, CO",Msa,CO,26.0,19.0,12.0,8.0,8.0,8.0,10.0,13.0,22.0,28.0,35.0,37.0,41.0,36.0,32.0,24.0,27.0,21.0,18.0,16.0,21.0,26.0,29.0,32.0,28.0,23.0,12.0,11.0,10.0,13.0,11.0,11.0,11.0
102,394405,162,"Boulder, CO",Msa,CO,30.0,21.0,9.0,8.0,8.0,9.0,11.0,14.0,18.0,26.0,32.0,39.0,36.0,30.0,21.0,17.0,19.0,19.0,20.0,22.0,26.0,30.0,33.0,39.0,39.0,30.0,15.0,9.0,9.0,9.0,10.0,10.0,9.0
103,394471,172,"Clarksville, TN",Msa,TN,37.0,38.0,33.0,25.0,18.0,18.0,19.0,19.0,22.0,22.0,28.0,29.0,35.0,33.0,30.0,23.0,18.0,16.0,21.0,25.0,28.0,30.0,38.0,49.0,50.0,45.0,32.0,30.0,33.0,38.0,37.0,34.0,35.0
104,394645,177,"Greeley, CO",Msa,CO,18.0,14.0,9.0,7.0,7.0,9.0,10.0,13.0,16.0,20.0,25.0,33.0,34.0,29.0,19.0,15.0,16.0,15.0,16.0,13.0,16.0,18.0,20.0,23.0,20.0,16.0,10.0,8.0,8.0,9.0,8.0,7.0,7.0
105,394813,189,"Macon-Bibb County, GA",Msa,GA,53.0,48.0,38.0,28.0,25.0,26.0,26.0,29.0,26.0,29.0,26.0,28.0,34.0,33.0,29.0,19.0,19.0,22.0,24.0,30.0,35.0,36.0,41.0,40.0,46.0,37.0,32.0,24.0,25.0,22.0,21.0,19.0,17.0
106,394346,220,"Athens, GA",Msa,GA,44.0,38.0,27.0,23.0,25.0,31.0,30.0,32.0,32.0,36.0,37.0,43.0,45.0,43.0,32.0,28.0,26.0,25.0,26.0,26.0,32.0,34.0,41.0,41.0,45.0,39.0,35.0,27.0,26.0,28.0,27.0,27.0,26.0
107,394623,229,"Gainesville, GA",Msa,GA,33.0,31.0,25.0,17.0,16.0,18.0,20.0,24.0,24.0,28.0,28.0,31.0,34.0,33.0,32.0,24.0,21.0,19.0,19.0,24.0,25.0,30.0,29.0,38.0,44.0,46.0,36.0,25.0,23.0,28.0,30.0,29.0,23.0
108,395246,244,"Yuba City, CA",Msa,CA,31.0,27.0,23.0,14.0,11.0,12.0,13.0,17.0,21.0,25.0,29.0,28.0,28.0,21.0,17.0,11.0,10.0,11.0,12.0,14.0,15.0,16.0,18.0,22.0,21.0,19.0,13.0,12.0,13.0,13.0,10.0,8.0,7.0
